local,ultimo_mes_pagado,ultimo_mes_pagado_raw,payment_status,recibo,receipt_date,category,path
SO-43,2025-06,2025-06,COMPLETO,,2025-08-01,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01291 LUIS R, DUQUE GT DEPOSITO SEPT 2024 A JUNIO 2025.docx"
L-02,2025-06,2025-06,COMPLETO,,2025-10-08,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01760 VERA L, LUCAS GT MAYO Y JUNIO 2025 .docx"
K-03,2025-06,2025-06,COMPLETO,18,2025-10-27,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01863 ANGELICA, BARRIOS GT AGOSTO 2024 A JUNIO 2025.docx"
J-02,2025-06,2025-06,COMPLETO,,2025-08-06,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01308 MARIA A, MACHADO GASTOS COMUNES ABRIL A JUNIO 2025.docx"
I-09,2025-06,2025-06,COMPLETO,,2025-08-27,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01454  MARIA C, RAMIRES GT FEBRERO A JUNIO  2025 100%.docx"
I-07,2025-06,2025-06,COMPLETO,,2025-07-30,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01273 YUBIRY, CERVEN GT ABRIL A JUNIO 2025 .docx"
H-22,2025-06,2025-06,COMPLETO,,2025-07-06,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01204 SULAY C, GARCIA GT ABRIL A JUNIO 2025.docx"
H-21,2025-06,2025-07,COMPLETO,,2025-08-22,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01446 EDUARDO, ROJAS GT JULIO 2025.docx"
H-18,2025-06,2025-06,COMPLETO,16,2025-09-01,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01692 JOSE B, DULCEY GT OCT 2024 A JUN 2025.docx"
H-17,2025-06,2025-06,COMPLETO,16,2025-09-01,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01693 MARINA L, DULCEY GT MAYO Y JUN 2025.docx"
H-11,2025-06,2025-06,COMPLETO,,2025-10-21,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01799 CESIDIO, NUNES GT FEBRERO A JUNIO 2025 .docx"
H-10,2025-06,2025-06,COMPLETO,,2025-10-21,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01799 CESIDIO, NUNES GT FEBRERO A JUNIO 2025 .docx"
GM-12,2025-06,2025-06,COMPLETO,,2025-07-21,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01234 JOSE A, MENDOZA GT FEB A JUNIO 2025.docx"
G-21B,2025-06,2025-06,COMPLETO,,2025-10-03,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01835 FILOMENA, PUIG GT ABRIL A JUNIO 2025.docx"
G-21A,2025-06,2025-06,COMPLETO,,2025-10-03,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01835 FILOMENA, PUIG GT ABRIL A JUNIO 2025.docx"
G-19,2025-06,2025-06,COMPLETO,,2025-09-11,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01573 GLORIA M, MARTELL GT MAYO Y JUNIO  2025.docx"
G-15B,2025-06,2025-06,COMPLETO,16,2025-09-01,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01696 MIGUEL A, PEREIRA GT MARZO A JUNIO 2025 .docx"
G-14,2025-06,2025-06,COMPLETO,,2025-11-04,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01877 ELIAS J, MARTINEZ GT ABRIL A JUNIO 2025.docx"
G-13,2025-06,2025-08,COMPLETO,1609,2025-09-22,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01609 JOSE, GOMEZ J GC AGOSTO 2025 - 100%.docx"
FL-12,2025-06,2025-06,COMPLETO,,2025-07-04,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01145 JUANA, DELGADO GT JUNIO 2025 .docx"
FL-10,2025-06,2025-06,COMPLETO,,2025-08-02,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01442 EVA E, RAMOS ENERO A JUNIO 2025 GASTOS COMUNES.docx"
FL-08,2025-06,2025-06,COMPLETO,,2025-07-04,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01144 MAIRA B, FARIAS GT JUNIO 2025 .docx"
FL-06,2025-06,2025-06,COMPLETO,,2025-07-03,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01139 MARIA S, GONCALVES GT JUNIO 2025 .docx"
